uberon_id	subset
UBERON:0000000	upper_level
UBERON:0000002	efo_slim
UBERON:0000002	pheno_slim
UBERON:0000002	uberon_slim
UBERON:0000003	uberon_slim
UBERON:0000003	vertebrate_core
UBERON:0000004	efo_slim
UBERON:0000004	major_organ
UBERON:0000004	pheno_slim
UBERON:0000004	uberon_slim
UBERON:0000004	vertebrate_core
UBERON:0000005	functional_classification
UBERON:0000005	uberon_slim
UBERON:0000006	efo_slim
UBERON:0000006	pheno_slim
UBERON:0000006	uberon_slim
UBERON:0000007	efo_slim
UBERON:0000007	organ_slim
UBERON:0000007	pheno_slim
UBERON:0000007	uberon_slim
UBERON:0000007	vertebrate_core
UBERON:0000009	pheno_slim
UBERON:0000009	uberon_slim
UBERON:0000010	cumbo
UBERON:0000010	efo_slim
UBERON:0000010	pheno_slim
UBERON:0000010	uberon_slim
UBERON:0000010	vertebrate_core
UBERON:0000011	efo_slim
UBERON:0000011	pheno_slim
UBERON:0000011	uberon_slim
UBERON:0000011	vertebrate_core
UBERON:0000012	pheno_slim
UBERON:0000012	uberon_slim
UBERON:0000013	efo_slim
UBERON:0000013	pheno_slim
UBERON:0000013	uberon_slim
UBERON:0000013	vertebrate_core
UBERON:0000014	pheno_slim
UBERON:0000015	upper_level
UBERON:0000016	efo_slim
UBERON:0000016	organ_slim
UBERON:0000016	pheno_slim
UBERON:0000016	uberon_slim
UBERON:0000016	vertebrate_core
UBERON:0000017	organ_slim
UBERON:0000017	pheno_slim
UBERON:0000017	uberon_slim
UBERON:0000017	vertebrate_core
UBERON:0000018	organ_slim
UBERON:0000018	uberon_slim
UBERON:0000019	pheno_slim
UBERON:0000019	uberon_slim
UBERON:0000019	vertebrate_core
UBERON:0000020	uberon_slim
UBERON:0000021	uberon_slim
UBERON:0000022	efo_slim
UBERON:0000022	uberon_slim
UBERON:0000023	efo_slim
UBERON:0000023	grouping_class
UBERON:0000023	uberon_slim
UBERON:0000026	efo_slim
UBERON:0000026	pheno_slim
UBERON:0000026	uberon_slim
UBERON:0000029	efo_slim
UBERON:0000029	pheno_slim
UBERON:0000029	uberon_slim
UBERON:0000029	vertebrate_core
UBERON:0000030	uberon_slim
UBERON:0000033	efo_slim
UBERON:0000033	pheno_slim
UBERON:0000033	uberon_slim
UBERON:0000033	vertebrate_core
UBERON:0000035	pheno_slim
UBERON:0000036	pheno_slim
UBERON:0000037	pheno_slim
UBERON:0000037	uberon_slim
UBERON:0000038	uberon_slim
UBERON:0000039	uberon_slim
UBERON:0000040	uberon_slim
UBERON:0000041	uberon_slim
UBERON:0000042	uberon_slim
UBERON:0000042	vertebrate_core
UBERON:0000043	pheno_slim
UBERON:0000043	uberon_slim
UBERON:0000044	efo_slim
UBERON:0000044	pheno_slim
UBERON:0000044	uberon_slim
UBERON:0000044	vertebrate_core
UBERON:0000045	efo_slim
UBERON:0000045	pheno_slim
UBERON:0000045	uberon_slim
UBERON:0000045	vertebrate_core
UBERON:0000046	uberon_slim
UBERON:0000047	grouping_class
UBERON:0000047	uberon_slim
UBERON:0000048	grouping_class
UBERON:0000048	uberon_slim
UBERON:0000049	grouping_class
UBERON:0000050	grouping_class
UBERON:0000050	uberon_slim
UBERON:0000051	uberon_slim
UBERON:0000052	pheno_slim
UBERON:0000052	uberon_slim
UBERON:0000053	pheno_slim
UBERON:0000053	uberon_slim
UBERON:0000054	pheno_slim
UBERON:0000054	uberon_slim
UBERON:0000055	grouping_class
UBERON:0000055	pheno_slim
UBERON:0000056	efo_slim
UBERON:0000056	major_organ
UBERON:0000056	organ_slim
UBERON:0000056	pheno_slim
UBERON:0000056	uberon_slim
UBERON:0000057	efo_slim
UBERON:0000057	major_organ
UBERON:0000057	organ_slim
UBERON:0000057	pheno_slim
UBERON:0000057	uberon_slim
UBERON:0000058	grouping_class
UBERON:0000059	efo_slim
UBERON:0000059	major_organ
UBERON:0000059	organ_slim
UBERON:0000059	pheno_slim
UBERON:0000060	upper_level
UBERON:0000061	upper_level
UBERON:0000062	upper_level
UBERON:0000063	upper_level
UBERON:0000064	efo_slim
UBERON:0000064	non_informative
UBERON:0000064	upper_level
UBERON:0000066	efo_slim
UBERON:0000067	grouping_class
UBERON:0000069	efo_slim
UBERON:0000072	non_informative
UBERON:0000073	non_informative
UBERON:0000073	upper_level
UBERON:0000074	efo_slim
UBERON:0000074	pheno_slim
UBERON:0000074	vertebrate_core
UBERON:0000075	non_informative
UBERON:0000076	pheno_slim
UBERON:0000077	grouping_class
UBERON:0000078	grouping_class
UBERON:0000079	efo_slim
UBERON:0000079	pheno_slim
UBERON:0000080	efo_slim
UBERON:0000080	organ_slim
UBERON:0000080	pheno_slim
UBERON:0000080	vertebrate_core
UBERON:0000081	organ_slim
UBERON:0000081	pheno_slim
UBERON:0000084	pheno_slim
UBERON:0000085	pheno_slim
UBERON:0000086	pheno_slim
UBERON:0000086	vertebrate_core
UBERON:0000087	early_development
UBERON:0000087	efo_slim
UBERON:0000087	pheno_slim
UBERON:0000088	early_development
UBERON:0000088	pheno_slim
UBERON:0000089	early_development
UBERON:0000089	efo_slim
UBERON:0000089	grouping_class
UBERON:0000089	uberon_slim
UBERON:0000089	vertebrate_core
UBERON:0000090	early_development
UBERON:0000090	pheno_slim
UBERON:0000091	early_development
UBERON:0000091	pheno_slim
UBERON:0000093	grouping_class
UBERON:0000093	non_informative
UBERON:0000095	vertebrate_core
UBERON:0000100	early_development
UBERON:0000100	metazoa_core
UBERON:0000101	pheno_slim
UBERON:0000102	pheno_slim
UBERON:0000104	upper_level
